           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -1.123621    0.000000       17.021997       -7.574788    0.000000    0.000000    0.127536    2.796026
    0.009804    0.027408   -1.539996   -1.123621   -0.000005       17.021997       -7.574788    0.002360    0.000000    0.127536    2.796026
    0.019608    0.054789   -1.509195   -1.123621   -0.000011       17.021997       -7.574788    0.009440    0.000008    0.127536    2.796026
    0.029412    0.082119   -1.478394   -1.123621   -0.000016       17.021997       -7.574788    0.021231    0.000040    0.127536    2.796026
    0.039216    0.109371   -1.447593   -1.123620   -0.000021       17.021997       -7.574788    0.037723    0.000127    0.127536    2.796026
    0.049020    0.136519   -1.416793   -1.123620   -0.000026       17.021997       -7.574788    0.058900    0.000309    0.127536    2.796026
    0.058824    0.163537   -1.385992   -1.123619   -0.000031       17.021997       -7.574788    0.084742    0.000638    0.127536    2.796026
    0.068627    0.190401   -1.355191   -1.123619   -0.000036       17.021997       -7.574788    0.115225    0.001178    0.127536    2.796026
    0.078431    0.217084   -1.324391   -1.123618   -0.000041       17.021997       -7.574788    0.150319    0.002000    0.127536    2.796026
    0.088235    0.243561   -1.293590   -1.123617   -0.000046       17.021997       -7.574788    0.189991    0.003187    0.127536    2.796026
    0.098039    0.269806   -1.262790   -1.123616   -0.000050       17.021997       -7.574788    0.234205    0.004828    0.127536    2.796026
    0.107843    0.295796   -1.231989   -1.123615   -0.000054       17.021997       -7.574788    0.282917    0.007021    0.127536    2.796026
    0.117647    0.321506   -1.201188   -1.123614   -0.000058       17.021997       -7.574788    0.336081    0.009872    0.127536    2.796026
    0.127451    0.346910   -1.170388   -1.123613   -0.000062       17.021997       -7.574788    0.393648    0.013490    0.127536    2.796026
    0.137255    0.371985   -1.139588   -1.123611   -0.000066       17.021997       -7.574788    0.455562    0.017991    0.127536    2.796026
    0.147059    0.396708   -1.108787   -1.123610   -0.000069       17.021997       -7.574788    0.521766    0.023492    0.127536    2.796026
    0.156863    0.421054   -1.077987   -1.123608   -0.000072       17.021997       -7.574788    0.592195    0.030113    0.127536    2.796026
    0.166667    0.445000   -1.047186   -1.123607   -0.000075       17.021997       -7.574788    0.666783    0.037978    0.127536    2.796026
    0.176471    0.468525   -1.016386   -1.123605   -0.000078       17.021997       -7.574788    0.745459    0.047208    0.127536    2.796026
