           t           r         psi          cs          qs               p             sig           A           V          Q2           S
    0.000000    0.000000   -1.570796   -1.088911    0.000000       -2.177822        1.000000    0.000000    0.000000    0.456731    7.098831
    0.009804    0.069530   -1.494948   -1.091678    0.000000       -2.181509        1.000000    0.000000    0.000020    0.456731    7.098831
    0.019608    0.138658   -1.418710   -1.100170    0.000000       -2.192788        1.000000    0.060633    0.000319    0.456731    7.098831
    0.029412    0.206978   -1.341667   -1.114944    0.000000       -2.212303        1.000000    0.151142    0.001605    0.456731    7.098831
    0.039216    0.274070   -1.263352   -1.136901    0.000000       -2.241085        1.000000    0.270990    0.005026    0.456731    7.098831
    0.049020    0.339493   -1.183224   -1.167266    0.000000       -2.280521        1.000000    0.419446    0.012117    0.456731    7.098831
    0.058824    0.402776   -1.100647   -1.207527    0.000000       -2.332270        1.000000    0.595574    0.024738    0.456731    7.098831
    0.068627    0.463404   -1.014878   -1.259265    0.000000       -2.398063        1.000000    0.798215    0.044977    0.456731    7.098831
    0.078431    0.520807   -0.925070   -1.323744    0.000000       -2.479217        1.000000    1.025957    0.075030    0.456731    7.098831
    0.088235    0.574346   -0.830324   -1.401002    0.000000       -2.575620        1.000000    1.277111    0.117043    0.456731    7.098831
    0.098039    0.623299   -0.729828   -1.488119    0.000000       -2.683836        1.000000    1.549672    0.172909    0.456731    7.098831
    0.107843    0.666878   -0.623155   -1.576389    0.000000       -2.794065        1.000000    1.841289    0.243996    0.456731    7.098831
    0.117647    0.704262   -0.510785   -1.647908    0.000000       -2.886596        1.000000    2.149253    0.330829    0.456731    7.098831
    0.127451    0.734702   -0.394821   -1.674248    0.000000       -2.930628        1.000000    2.470529    0.432767    0.456731    7.098831
    0.137255    0.757695   -0.279562   -1.622543    0.000000       -2.891096        1.000000    2.801859    0.547830    0.456731    7.098831
    0.147059    0.773184   -0.171293   -1.471968    0.000000       -2.746392        1.000000    3.139962    0.672870    0.456731    7.098831
    0.156863    0.781695   -0.076791   -1.231235    0.000000       -2.506736        1.000000    3.481788    0.804167    0.456731    7.098831
    0.166667    0.784287   -0.001123   -0.938703    0.000000       -2.213746        1.000000    3.824746    0.938238    0.456731    7.098831
    0.176471    0.782335    0.053789   -0.642247    0.000000       -1.918623        1.000000    4.166851    1.072432    0.456731    7.098831
    0.186275    0.777263    0.089039   -0.378128    0.000000       -1.659597        1.000000    4.506738    1.205095    0.456731    7.098831
    0.196078    0.770346    0.107588   -0.163819    0.000000       -1.454432        1.000000    4.843600    1.335400    0.456731    7.098831
